COUNTY,TAKENIN,EUTHANIZED,PERCENTEUTHANIZED
ALAMANCE,1543,120,7.77705768
ALEXANDER,646,70,10.83591331
ALLEGHANY,NULL,NULL,
ANSON,570,7,1.228070175
ASHE,295,29,9.830508475
AVERY,272,10,3.676470588
BEAUFORT,605,68,11.23966942
BERTIE,9,0,0
BLADEN,723,39,5.394190871
BRUNSWICK,53,0,0
BUNCOMBE,2086,242,11.60115053
BURKE,640,54,8.4375
CABARRUS,1074,125,11.63873371
CALDWELL,243,52,21.39917695
CAMDEN,NULL,NULL,
CARTERET,620,29,4.677419355
CASWELL,474,47,9.915611814
CATAWBA,596,36,6.040268456
CHATHAM,401,59,14.71321696
CHEROKEE,NULL,NULL,
CHOWAN,432,69,15.97222222
CLAY,NULL ,NULL,
CLEVELAND,1010,120,11.88118812
COLUMBUS,NULL,NULL,
CRAVEN,1363,174,12.76595745
CUMBERLAND,2863,331,11.56129934
CURRITUCK,237,7,2.953586498
DARE,410,16,3.902439024
DAVIDSON,1190,253,21.2605042
DAVIE,417,50,11.99040767
DUPLIN,1136,110,9.683098592
DURHAM,1623,454,27.97288971
EDGECOMBE,572,95,16.60839161
FORSYTH,1348,48,3.560830861
FRANKLIN,807,106,13.13506815
GASTON,1371,144,10.50328228
GATES,NULL,NULL,
GRAHAM,NULL,NULL,
GRANVILLE,766,80,10.44386423
GREENE,NULL,NULL,
GUILFORD,2780,387,13.92086331
HALIFAX,NULL,NULL,
HARNETT,903,126,13.95348837
HAYWOOD,1009,70,6.937561943
HENDERSON,755,53,7.01986755
HERTFORD,258,32,12.40310078
HOKE,NULL,NULL,
HYDE,NULL,NULL,
IREDELL,1581,150,9.487666034
JACKSON,NULL,NULL,
JOHNSTON,1343,336,25.01861504
JONES,NULL,NULL,
LEE,722,47,6.509695291
LENOIR,791,36,4.551201011
LINCOLN,1085,29,2.67281106
MCDOWELL,544,12,2.205882353
MACON,348,10,2.873563218
MADISON,291,5,1.718213058
MARTIN,320,128,40
MECKLENBURG,4,0,0
MITCHELL,NULL,NULL,
MONTGOMERY,507,120,23.66863905
MOORE,1021,238,23.31047992
NASH,483,61,12.62939959
NEW HANOVER,NULL,NULL,
NORTHAMPTON,222,32,14.41441441
ONSLOW,1602,444,27.71535581
ORANGE,936,89,9.508547009
PAMLICO,NULL,NULL,
PASQUOTANK,607,97,15.98023064
PENDER,934,145,15.52462527
PERQUIMANS,NULL,NULL,
PERSON,523,193,36.90248566
PITT,1304,220,16.87116564
POLK,478,5,1.046025105
RANDOLPH,1364,198,14.51612903
RICHMOND,597,104,17.42043551
ROBESON,2633,1212,46.03114318
ROCKINGHAM,1394,203,14.56241033
ROWAN,1414,84,5.940594059
RUTHERFORD,838,60,7.159904535
SAMPSON,1112,300,26.97841727
SCOTLAND,730,138,18.90410959
STANLY,NULL,NULL,
STOKES,513,74,14.42495127
SURRY,925,183,19.78378378
SWAIN,NULL,NULL,
TRANSYLVANIA,504,84,16.66666667
TYRRELL,NULL,NULL,
UNION,1231,313,25.42648253
VANCE,870,28,3.218390805
WAKE,3115,370,11.87800963
WARREN,534,62,11.61048689
WASHINGTON,107,10,9.345794393
WATAUGA,NULL,NULL,
WAYNE,1603,207,12.91328759
WILKES,1423,451,31.69360506
WILSON,991,91,9.182643794
YADKIN,319,41,12.85266458
YANCEY,NULL,NULL,